"Id";"Region";"ActivityHour";"StepTotal";"Calories";"TotalIntensity";"AverageIntensity"
4020332650;"East";"2016-05-05 01:00:00";5;99;1;0
4020332650;"East";"2016-05-05 02:00:00";0;83;0;0
4020332650;"East";"2016-05-05 03:00:00";0;83;0;0
4020332650;"East";"2016-05-05 04:00:00";81;99;6;0
4020332650;"East";"2016-05-05 05:00:00";0;83;0;0
4020332650;"East";"2016-05-05 06:00:00";0;83;0;0
4020332650;"East";"2016-05-05 07:00:00";0;83;0;0
4020332650;"East";"2016-05-05 08:00:00";0;83;0;0
4020332650;"East";"2016-05-05 09:00:00";0;83;0;0
4020332650;"East";"2016-05-05 10:00:00";0;83;0;0
4020332650;"East";"2016-05-05 11:00:00";0;83;0;0
4020332650;"East";"2016-05-05 12:00:00";0;83;0;0
4020332650;"East";"2016-05-05 13:00:00";0;83;0;0
4020332650;"East";"2016-05-05 14:00:00";373;117;7;0
4020332650;"East";"2016-05-05 15:00:00";13;108;2;0
4020332650;"East";"2016-05-05 16:00:00";2737;346;93;2
4020332650;"East";"2016-05-05 17:00:00";689;183;29;0
4020332650;"East";"2016-05-05 18:00:00";1953;316;68;1
4020332650;"East";"2016-05-05 19:00:00";716;190;23;0
4020332650;"East";"2016-05-05 20:00:00";980;214;22;0
4020332650;"East";"2016-05-05 21:00:00";1197;246;45;1
4020332650;"East";"2016-05-05 22:00:00";2192;315;70;1
4020332650;"East";"2016-05-05 23:00:00";715;175;21;0
4319703577;"North";"2016-05-05 00:00:00";0;61;0;0
4319703577;"North";"2016-05-05 01:00:00";0;61;0;0
4319703577;"North";"2016-05-05 02:00:00";0;61;0;0
4319703577;"North";"2016-05-05 03:00:00";0;61;0;0
4319703577;"North";"2016-05-05 04:00:00";0;61;0;0
4319703577;"North";"2016-05-05 05:00:00";1950;205;53;1
4319703577;"North";"2016-05-05 06:00:00";3547;279;82;1
4319703577;"North";"2016-05-05 07:00:00";330;92;15;0
4319703577;"North";"2016-05-05 08:00:00";74;71;5;0
4319703577;"North";"2016-05-05 09:00:00";165;76;7;0
4319703577;"North";"2016-05-05 10:00:00";1517;169;36;1
4319703577;"North";"2016-05-05 11:00:00";878;123;32;1
4319703577;"North";"2016-05-05 12:00:00";781;125;28;0
4319703577;"North";"2016-05-05 13:00:00";307;90;13;0
4319703577;"North";"2016-05-05 14:00:00";546;114;25;0
4319703577;"North";"2016-05-05 15:00:00";432;108;25;0
4319703577;"North";"2016-05-05 16:00:00";189;87;13;0
4319703577;"North";"2016-05-05 17:00:00";152;82;11;0
4319703577;"North";"2016-05-05 18:00:00";686;127;37;1
4319703577;"North";"2016-05-05 19:00:00";1178;143;45;1
4319703577;"North";"2016-05-05 20:00:00";702;119;31;1
4319703577;"North";"2016-05-05 21:00:00";80;75;7;0
4319703577;"North";"2016-05-05 22:00:00";144;82;12;0
4319703577;"North";"2016-05-05 23:00:00";0;61;0;0
1503960366;"South";"2016-05-05 09:00:00";1615;131;26;0
1503960366;"South";"2016-05-05 12:00:00";318;75;13;0
1503960366;"South";"2016-05-05 13:00:00";1231;110;21;0
1503960366;"South";"2016-05-05 15:00:00";187;72;14;0
1503960366;"South";"2016-05-05 21:00:00";3897;219;113;2
1503960366;"South";"2016-05-05 22:00:00";900;95;17;0
1624580081;"West";"2016-05-05 02:00:00";0;51;1;0
1624580081;"West";"2016-05-05 04:00:00";0;50;0;0
1624580081;"West";"2016-05-05 10:00:00";0;50;0;0
1624580081;"West";"2016-05-05 18:00:00";52;52;1;0
1624580081;"West";"2016-05-05 19:00:00";419;68;12;0
1624580081;"West";"2016-05-05 22:00:00";76;61;8;0
1624580081;"West";"2016-05-05 23:00:00";68;54;3;0
1644430081;"East";"2016-05-05 06:00:00";0;84;0;0
1644430081;"East";"2016-05-05 07:00:00";0;84;0;0
1644430081;"East";"2016-05-05 13:00:00";15;86;1;0
1644430081;"East";"2016-05-05 16:00:00";0;84;0;0
1644430081;"East";"2016-05-05 18:00:00";325;115;7;0
1844505072;"South";"2016-05-05 00:00:00";0;56;0;0
1844505072;"South";"2016-05-05 04:00:00";0;56;0;0
1844505072;"South";"2016-05-05 14:00:00";542;111;27;0
1844505072;"South";"2016-05-05 20:00:00";0;56;0;0
1844505072;"South";"2016-05-05 21:00:00";0;56;0;0
1927972279;"East";"2016-05-05 04:00:00";0;86;0;0
1927972279;"East";"2016-05-05 07:00:00";0;86;0;0
1927972279;"East";"2016-05-05 10:00:00";0;86;0;0
1927972279;"East";"2016-05-05 16:00:00";0;86;0;0
1927972279;"East";"2016-05-05 18:00:00";0;86;0;0
1927972279;"East";"2016-05-05 19:00:00";0;86;0;0
2022484408;"East";"2016-05-05 01:00:00";0;62;0;0
2022484408;"East";"2016-05-05 06:00:00";0;62;0;0
2022484408;"East";"2016-05-05 09:00:00";2327;217;68;1
2022484408;"East";"2016-05-05 12:00:00";255;94;12;0
2022484408;"East";"2016-05-05 14:00:00";1723;194;54;1
2022484408;"East";"2016-05-05 23:00:00";0;62;0;0
2026352035;"North";"2016-05-05 02:00:00";0;47;0;0
2026352035;"North";"2016-05-05 05:00:00";651;88;24;0
2026352035;"North";"2016-05-05 08:00:00";709;104;39;1
2026352035;"North";"2016-05-05 10:00:00";578;95;32;1
2026352035;"North";"2016-05-05 18:00:00";815;102;33;1
2026352035;"North";"2016-05-05 20:00:00";377;73;16;0
2026352035;"North";"2016-05-05 22:00:00";22;50;2;0
2320127002;"North";"2016-05-05 09:00:00";782;109;34;1
2320127002;"North";"2016-05-05 11:00:00";427;97;23;0
2320127002;"North";"2016-05-05 12:00:00";456;93;18;0
2320127002;"North";"2016-05-05 14:00:00";0;55;0;0
2320127002;"North";"2016-05-05 15:00:00";0;55;0;0
2873212765;"North";"2016-05-05 03:00:00";0;52;0;0
2873212765;"North";"2016-05-05 05:00:00";0;52;0;0
2873212765;"North";"2016-05-05 11:00:00";331;79;9;0
2873212765;"North";"2016-05-05 15:00:00";1107;126;46;1
2873212765;"North";"2016-05-05 21:00:00";178;73;14;0
3977333714;"West";"2016-05-05 01:00:00";0;42;0;0
